0.459697,0.426668,0.391309,0.357715,0.328034,0.326116,0.286396,0.205667,0.149985,0.13669,0.160393,0.180539,0.189931,0.211585,0.234712,0.236539,0.248574,
0.42459,0.387535,0.350041,0.311512,0.278371,0.252275,0.208558,0.170875,0.139326,0.12325,0.119244,0.137784,0.165673,0.187167,0.20513,0.219467,0.237632,
0.438063,0.402795,0.367335,0.330181,0.295918,0.259567,0.216999,0.172079,0.139412,0.127927,0.136717,0.159842,0.186651,0.207869,0.226165,0.239871,0.259369,
0.327157,0.301692,0.276612,0.249636,0.224274,0.198564,0.176073,0.154385,0.136892,0.127708,0.128016,0.134546,0.145221,0.157386,0.166264,0.177295,0.187452,
0.266144,0.250979,0.235028,0.215595,0.200205,0.182628,0.167121,0.152538,0.140687,0.133611,0.131155,0.132458,0.136353,0.141015,0.146349,0.151543,0.155075,
0.258889,0.245027,0.231198,0.213301,0.200112,0.184254,0.169429,0.156577,0.146578,0.138418,0.134713,0.13345,0.136095,0.137835,0.142969,0.146595,0.149094,
0.207477,0.201178,0.193069,0.184051,0.17688,0.168116,0.161098,0.153361,0.147774,0.143109,0.139109,0.136647,0.134365,0.135494,0.134746,0.136003,0.135519,
0.197198,0.192681,0.183655,0.177516,0.169816,0.165818,0.158464,0.153516,0.14905,0.1452,0.142056,0.140655,0.138654,0.138414,0.138552,0.137881,0.136506,
0.191699,0.186594,0.182449,0.176762,0.171341,0.166061,0.159885,0.156682,0.152787,0.149001,0.144786,0.145696,0.139737,0.141939,0.138739,0.139094,0.137492,
0.176363,0.174814,0.170176,0.165991,0.16236,0.162159,0.154834,0.154414,0.15325,0.147484,0.146685,0.144261,0.144638,0.142367,0.140692,0.137521,0.136695,
