,,,,,179.844,194.831,209.818,224.805,239.792,254.779,269.766,284.753,299.74,314.727,329.714,344.701,359.688,374.675,389.662,404.649,419.636
KOSPI200,M,기준일,,구간,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4
0.08333,,KOSPI200,I,1M,30.9230321357143,28.8927481714286,26.8624643035714,24.8321803392857,22.7947536142857,19.7783272785714,16.8404103464286,14.433538025,12.9274757642857,12.251719025,12.8010008142857,15.0283193928571,16.4350461964286,17.4976871857143,18.4603281714286,19.3265405892857,20.1927530035714
0.16667,,KOSPI200,I,2M,28.2777541571429,26.47468025,24.6716063428571,22.8685324357143,20.8654585357143,18.7063015857143,16.3442048642857,14.3057153142857,13.0793343214286,12.4218017,12.3860722857143,12.9636885785714,13.8620084642857,14.6847468071429,15.41665105,16.1462685642857,16.8729164
0.25,,KOSPI200,I,3M,26.6714721,25.0661193857143,23.4619891571429,21.8564493571429,20.0732595714286,18.1278752714286,15.9631220571429,14.1519487714286,13.2624894857143,12.7251847428571,12.4641384,12.9544515857143,13.5314939142857,14.1498907571429,14.7906131428571,15.3998750714286,15.9695072142857
0.5,,KOSPI200,I,6M,24.2026185,22.8196884571429,21.4525962285714,20.0931257285714,18.7372295142857,17.3854334428571,16.0530607428571,14.7949807428571,13.7474292857143,13.0986892142857,12.929065,13.1316839142857,13.5363150857143,14.0204324285714,14.5223461714286,15.0164097714286,15.4926378571429
0.75,,KOSPI200,I,9M,23.0079108342857,21.76952794,20.5500625085714,19.3562011028571,18.1896190228571,17.058478,15.9841861,15.0098582914286,14.2041971914286,13.64356506,13.3681723571429,13.3517156457143,13.5217445142857,13.8030707542857,14.1414299771429,14.5043786571429,14.87393022
1,,KOSPI200,I,12M,21.8957675,20.7675332,19.679325,18.6311617,17.627254,16.6782717,15.8035812,15.0333974,14.406287,13.9576465,13.7022965,13.6251078,13.6886089,13.8498207,14.0725539,14.3311097,14.6085294
1.5,,KOSPI200,I,18M,20.6161921742857,19.7030849428571,18.8398809828571,18.0264543228571,17.2656049971429,16.5628331628571,15.9266715771429,15.3681536257143,14.8990564342857,14.5290482628571,14.2623027342857,14.0953595314286,14.0176326428571,14.0141002828571,14.0687179571429,14.1670663571429,14.2970043142857
2,,KOSPI200,I,24M,19.554345775,18.8030769321429,18.1039662785714,17.4563819714286,16.861334125,16.3213074464286,15.8397238642857,15.4203977571429,15.066598325,14.7800241928571,14.5600132642857,14.4031654821429,14.3036237678571,14.2539704607143,14.2463185642857,14.2731869535714,14.3276723464286
2.5,,KOSPI200,I,30M,19.004432,18.3745558,17.7936657,17.2599425,16.7726729,16.3319987,15.9383839,15.5924005,15.2944,15.0439807,14.8397985,14.6795376,14.5598625,14.476724,14.4258816,14.4031847,14.4045283
3,,KOSPI200,I,36M,18.5277521428571,17.9912061214286,17.4999545071429,17.0516005071429,16.6445425642857,16.2776363642857,15.9500382785714,15.6609506785714,15.4093910857143,15.1941036285714,15.0134305285714,14.8653584714286,14.7474175785714,14.6568911571429,14.5910244928571,14.5472757285714,14.5230435571429
